Instruction Number,Instruction ,Number of Constraints,Constraints
6,Weave the story arcs of several seemingly disparate characters into one surprise ending where they all get what they've been searching for — together,31,"1. Each character must come from a different continent.
2. One character should be recovering from a major financial loss.
3. Another character should be searching for a lost family heirloom.
4. Include a character who is an undercover journalist.
5. Each character’s story must include a secondary character who plays a crucial role in them achieving their goal.
6. The settings must include a busy urban city, a quiet village, a remote island, and a bustling marketplace.
7. All characters must have a common acquaintance without initially realizing it.
8. The story must be told through alternating first-person perspectives of each main character.
9. There must be a running theme of mistaken identity that affects each character's trajectory.
10. Each character should have a distinct dialect or manner of speaking to reflect their origins.
11. Include a natural disaster that indirectly helps to resolve the conflicts.
12. The story must feature a scene at an international conference where two or more main characters meet.
13. Each character arc must include at least three clear obstacles they need to overcome.
14. No character is allowed to meet another until at least halfway through the story.
15. Every character must experience a flashback that reveals critical information about their past.
16. The ending must take place in a location previously unknown to all characters.
17. Introduce an anonymous benefactor whose actions impact each character's journey.
18. A precious object must be stolen and passed amongst the characters indirectly.
19. There needs to be a symbolic element, like a comet, observed by all characters throughout their stories.
20. Incorporate a traditional festival specific to each character's culture as a pivotal plot point.
21. Each character must face a moral dilemma related to their ultimate goal.
22. The story must include a scene set in an international airport.
23. Secrets each character keeps from others must be revealed in the climax.
24. An aspect of each character’s past must unexpectedly benefit another character.
25. Use a non-linear timeline, requiring the reader to piece together when certain events occur.
26. A public figure must be subtly included as a catalyst in the storyline.
27. Every main character must change their initial perception of what they truly want.
28. Include a subplot involving an international art theft.
29. There must be a coded message that readers can solve alongside the characters.
30. The characters should not understand the full significance of their desires until the conclusion.
31. Introduce an old legend or myth that influences each character’s beliefs or actions."
6,Weave the story arcs of several seemingly disparate characters into one surprise ending where they all get what they've been searching for — together,39,"1. Each character must come from a different continent.
2. One character should be recovering from a major financial loss.
3. Another character should be searching for a lost family heirloom.
4. Include a character who is an undercover journalist.
5. Each character’s story must include a secondary character who plays a crucial role in them achieving their goal.
6. The settings must include a busy urban city, a quiet village, a remote island, and a bustling marketplace.
7. All characters must have a common acquaintance without initially realizing it.
8. The story must be told through alternating first-person perspectives of each main character.
9. There must be a running theme of mistaken identity that affects each character's trajectory.
10. Each character should have a distinct dialect or manner of speaking to reflect their origins.
11. Include a natural disaster that indirectly helps to resolve the conflicts.
12. The story must feature a scene at an international conference where two or more main characters meet.
13. Each character arc must include at least three clear obstacles they need to overcome.
14. No character is allowed to meet another until at least halfway through the story.
15. Every character must experience a flashback that reveals critical information about their past.
16. The ending must take place in a location previously unknown to all characters.
17. Introduce an anonymous benefactor whose actions impact each character's journey.
18. A precious object must be stolen and passed amongst the characters indirectly.
19. There needs to be a symbolic element, like a comet, observed by all characters throughout their stories.
20. Incorporate a traditional festival specific to each character's culture as a pivotal plot point.
21. Each character must face a moral dilemma related to their ultimate goal.
22. The story must include a scene set in an international airport.
23. Secrets each character keeps from others must be revealed in the climax.
24. An aspect of each character’s past must unexpectedly benefit another character.
25. Use a non-linear timeline, requiring the reader to piece together when certain events occur.
26. A public figure must be subtly included as a catalyst in the storyline.
27. Every main character must change their initial perception of what they truly want.
28. Include a subplot involving an international art theft.
29. There must be a coded message that readers can solve alongside the characters.
30. The characters should not understand the full significance of their desires until the conclusion.
31. Introduce an old legend or myth that influences each character’s beliefs or actions.
32. There must be the use of a rare item that serves as a key to resolving the final plot twist.
33. Animals should play a symbolic role, each relating to one character.
34. Include a scene where all main characters are in danger simultaneously but in different locations.
35. Each character must disguise themselves at least once in their storyline.
36. The story must involve a legal dispute that seems unrelated but ties back into the main plot.
37. Incorporate the four elements (earth, water, fire, air) symbolically in the story.
38. There should be a mistaken delivery of an important item that sets off a chain of events.
39. Explore themes of destiny and fate with philosophical reflections by each character."
7,"He found her lost scarf in the park and set out to return it, not knowing it was the beginning of their love story.",7,"1. The scarf must be intricately designed, having belonged originally to the woman's late grandmother.
2. The protagonist (the man returning the scarf) is a professional magician who believes in serendipity.
3. The woman receiving the scarf is an esteemed linguistics professor, specializing in rare languages.
4. Include brief snippets of conversation in a fictional language they develop together.
5. The park where the scarf was found should have historical significance in their town.
6. Both characters are initially skeptical of love due to past traumas which they disclose to each other during their first meeting.
7. Their first encounter should happen during a significant local festival which plays into their respective interests."
7,"He found her lost scarf in the park and set out to return it, not knowing it was the beginning of their love story.",15,"1. The scarf must be intricately designed, having belonged originally to the woman's late grandmother.
2. The protagonist (the man returning the scarf) is a professional magician who believes in serendipity.
3. The woman receiving the scarf is an esteemed linguistics professor, specializing in rare languages.
4. Include brief snippets of conversation in a fictional language they develop together.
5. The park where the scarf was found should have historical significance in their town.
6. Both characters are initially skeptical of love due to past traumas which they disclose to each other during their first meeting.
7. Their first encounter should happen during a significant local festival which plays into their respective interests.
8. The story must include at least three clever plot twists that challenge the stability of their relationship.
9. Describe the park's atmosphere with detailed sensory descriptions in every season as the relationship progresses.
10. Include a subplot involving a lost letter found with the scarf, which contains a mysterious, incomplete message.
11. Each of the five senses (sight, sound, taste, touch, smell) must be vividly described in distinct scenes.
12. Their love story should indirectly help solve a minor mystery in their community.
13. Introduce a minor antagonist who is secretly envious of their burgeoning relationship.
14. The magician's career should undergo a significant change influenced by his relationship.
15. The linguistics professor must give a pivotal speech on the importance of communication in relationships, inspired by her interactions with the magician."
7,"He found her lost scarf in the park and set out to return it, not knowing it was the beginning of their love story.",23,"1. The scarf must be intricately designed, having belonged originally to the woman's late grandmother.
2. The protagonist (the man returning the scarf) is a professional magician who believes in serendipity.
3. The woman receiving the scarf is an esteemed linguistics professor, specializing in rare languages.
4. Include brief snippets of conversation in a fictional language they develop together.
5. The park where the scarf was found should have historical significance in their town.
6. Both characters are initially skeptical of love due to past traumas which they disclose to each other during their first meeting.
7. Their first encounter should happen during a significant local festival which plays into their respective interests.
8. The story must include at least three clever plot twists that challenge the stability of their relationship.
9. Describe the park's atmosphere with detailed sensory descriptions in every season as the relationship progresses.
10. Include a subplot involving a lost letter found with the scarf, which contains a mysterious, incomplete message.
11. Each of the five senses (sight, sound, taste, touch, smell) must be vividly described in distinct scenes.
12. Their love story should indirectly help solve a minor mystery in their community.
13. Introduce a minor antagonist who is secretly envious of their burgeoning relationship.
14. The magician's career should undergo a significant change influenced by his relationship.
15. The linguistics professor must give a pivotal speech on the importance of communication in relationships, inspired by her interactions with the magician.
16. Detail a critical moment when they almost part ways due to a misunderstanding regarding the scarf's history.
17. The scarf must be lost and found a total of three times throughout the story.
18. Include a secondary character (a child) who plays a crucial role in reuniting the couple each time they face relational difficulties.
19. The narrative should be structured in non-linear time, requiring careful attention to time stamps to understand the progression.
20. They must collaborate on a public project that symbolizes their relationship.
21. The magician has a signature magic trick that metaphorically represents aspects of their relationship.
22. Introduce an elderly figure who provides wise counsel to the couple based on their own love story.
23. A storm must be a critical turning point in the narrative, offering a moment of clarity and reconciliation for the couple."
7,"He found her lost scarf in the park and set out to return it, not knowing it was the beginning of their love story.",31,"1. The scarf must be intricately designed, having belonged originally to the woman's late grandmother.
2. The protagonist (the man returning the scarf) is a professional magician who believes in serendipity.
3. The woman receiving the scarf is an esteemed linguistics professor, specializing in rare languages.
4. Include brief snippets of conversation in a fictional language they develop together.
5. The park where the scarf was found should have historical significance in their town.
6. Both characters are initially skeptical of love due to past traumas which they disclose to each other during their first meeting.
7. Their first encounter should happen during a significant local festival which plays into their respective interests.
8. The story must include at least three clever plot twists that challenge the stability of their relationship.
9. Describe the park's atmosphere with detailed sensory descriptions in every season as the relationship progresses.
10. Include a subplot involving a lost letter found with the scarf, which contains a mysterious, incomplete message.
11. Each of the five senses (sight, sound, taste, touch, smell) must be vividly described in distinct scenes.
12. Their love story should indirectly help solve a minor mystery in their community.
13. Introduce a minor antagonist who is secretly envious of their burgeoning relationship.
14. The magician's career should undergo a significant change influenced by his relationship.
15. The linguistics professor must give a pivotal speech on the importance of communication in relationships, inspired by her interactions with the magician.
16. Detail a critical moment when they almost part ways due to a misunderstanding regarding the scarf's history.
17. The scarf must be lost and found a total of three times throughout the story.
18. Include a secondary character (a child) who plays a crucial role in reuniting the couple each time they face relational difficulties.
19. The narrative should be structured in non-linear time, requiring careful attention to time stamps to understand the progression.
20. They must collaborate on a public project that symbolizes their relationship.
21. The magician has a signature magic trick that metaphorically represents aspects of their relationship.
22. Introduce an elderly figure who provides wise counsel to the couple based on their own love story.
23. A storm must be a critical turning point in the narrative, offering a moment of clarity and reconciliation for the couple.
24. The couple should adopt a pet that features prominently in their daily lives and contributes to their bond.
25. Incorporate social media as a medium where they express their affection for each other publicly.
26. Their story should inspire a local playwright to create a play, which they are invited to watch together.
27. Include a philosophical discussion about fate and free will that shapes their views on relationships.
28. The love story must be recounted to a third party, offering a different perspective on their romance.
29. Each chapter should begin with a quote about love and destiny from famous literary figures.
30. They must separately encounter a piece of art that profoundly impacts their views on love.
31. The woman must teach the magician to say ""I love you"" in three different languages."
7,"He found her lost scarf in the park and set out to return it, not knowing it was the beginning of their love story.",39,"1. The scarf must be intricately designed, having belonged originally to the woman's late grandmother.
2. The protagonist (the man returning the scarf) is a professional magician who believes in serendipity.
3. The woman receiving the scarf is an esteemed linguistics professor, specializing in rare languages.
4. Include brief snippets of conversation in a fictional language they develop together.
5. The park where the scarf was found should have historical significance in their town.
6. Both characters are initially skeptical of love due to past traumas which they disclose to each other during their first meeting.
7. Their first encounter should happen during a significant local festival which plays into their respective interests.
8. The story must include at least three clever plot twists that challenge the stability of their relationship.
9. Describe the park's atmosphere with detailed sensory descriptions in every season as the relationship progresses.
10. Include a subplot involving a lost letter found with the scarf, which contains a mysterious, incomplete message.
11. Each of the five senses (sight, sound, taste, touch, smell) must be vividly described in distinct scenes.
12. Their love story should indirectly help solve a minor mystery in their community.
13. Introduce a minor antagonist who is secretly envious of their burgeoning relationship.
14. The magician's career should undergo a significant change influenced by his relationship.
15. The linguistics professor must give a pivotal speech on the importance of communication in relationships, inspired by her interactions with the magician.
16. Detail a critical moment when they almost part ways due to a misunderstanding regarding the scarf's history.
17. The scarf must be lost and found a total of three times throughout the story.
18. Include a secondary character (a child) who plays a crucial role in reuniting the couple each time they face relational difficulties.
19. The narrative should be structured in non-linear time, requiring careful attention to time stamps to understand the progression.
20. They must collaborate on a public project that symbolizes their relationship.
21. The magician has a signature magic trick that metaphorically represents aspects of their relationship.
22. Introduce an elderly figure who provides wise counsel to the couple based on their own love story.
23. A storm must be a critical turning point in the narrative, offering a moment of clarity and reconciliation for the couple.
24. The couple should adopt a pet that features prominently in their daily lives and contributes to their bond.
25. Incorporate social media as a medium where they express their affection for each other publicly.
26. Their story should inspire a local playwright to create a play, which they are invited to watch together.
27. Include a philosophical discussion about fate and free will that shapes their views on relationships.
28. The love story must be recounted to a third party, offering a different perspective on their romance.
29. Each chapter should begin with a quote about love and destiny from famous literary figures.
30. They must separately encounter a piece of art that profoundly impacts their views on love.
31. The woman must teach the magician to say ""I love you"" in three different languages.
32. A vital part of the story should involve them helping each other overcome a personal fear.
33. Introduce a tradition that they start together during their first year as a couple.
34. The story must incorporate the changing of seasons as a metaphor for the stages of their relationship.
35. They should encounter a challenge that tests their commitment around the midpoint of the story.
36. Insert at least one scene where they communicate their deepest insecurities in a creative format (e.g., through a game or a drawing).
37. Their relationship should at one point be threatened by external pressures (e.g., career demands, societal expectations).
38. Conclude the story with a surprising twist that ties back to the scarf’s original storyline.
39. The story must subtly integrate themes of loyalty, chance, and destiny."
8,A famous shoe designer asks you to quit your job and be his latest model.,7,"1. The protagonist must have never modeled before and initially refuses the offer due to self-doubt.
2. The shoe designer is secretly battling a terminal illness, which influences his urgency in finding a new muse.
3. The story should explore the protagonist’s journey from a mundane job to high-fashion modeling.
4. The shoe designer and the protagonist must develop a platonic yet intensely deep connection.
5. Include a rival model who attempts to sabotage the protagonist’s career.
6. The protagonist must discover a hidden talent for designing during the story.
7. The story must be set in three different major cities known for their fashion industries."
8,A famous shoe designer asks you to quit your job and be his latest model.,15,"1. The protagonist must have never modeled before and initially refuses the offer due to self-doubt.
2. The shoe designer is secretly battling a terminal illness, which influences his urgency in finding a new muse.
3. The story should explore the protagonist’s journey from a mundane job to high-fashion modeling.
4. The shoe designer and the protagonist must develop a platonic yet intensely deep connection.
5. Include a rival model who attempts to sabotage the protagonist’s career.
6. The protagonist must discover a hidden talent for designing during the story.
7. The story must be set in three different major cities known for their fashion industries.
8. The protagonist should have a significant other who disapproves of their new career path.
9. Each city presented in the story should introduce a new challenge the protagonist must overcome.
10. The designer's shoe brand should be facing financial difficulties, and the protagonist's success is crucial to its survival.
11. Involve a critical scene where the protagonist helps the designer with a fashion show that could either make or break the brand.
12. There must be a scene that details a photo shoot that does not go as planned, leading to unexpected publicity.
13. The story must incorporate the theme of self-discovery and personal transformation prominently.
14. The protagonist should have a past-related fear of public attention which they must confront.
15. Introduce a character who mentors the protagonist in the world of fashion modeling."
8,A famous shoe designer asks you to quit your job and be his latest model.,23,"1. The protagonist must have never modeled before and initially refuses the offer due to self-doubt.
2. The shoe designer is secretly battling a terminal illness, which influences his urgency in finding a new muse.
3. The story should explore the protagonist’s journey from a mundane job to high-fashion modeling.
4. The shoe designer and the protagonist must develop a platonic yet intensely deep connection.
5. Include a rival model who attempts to sabotage the protagonist’s career.
6. The protagonist must discover a hidden talent for designing during the story.
7. The story must be set in three different major cities known for their fashion industries.
8. The protagonist should have a significant other who disapproves of their new career path.
9. Each city presented in the story should introduce a new challenge the protagonist must overcome.
10. The designer's shoe brand should be facing financial difficulties, and the protagonist's success is crucial to its survival.
11. Involve a critical scene where the protagonist helps the designer with a fashion show that could either make or break the brand.
12. There must be a scene that details a photo shoot that does not go as planned, leading to unexpected publicity.
13. The story must incorporate the theme of self-discovery and personal transformation prominently.
14. The protagonist should have a past-related fear of public attention which they must confront.
15. Introduce a character who mentors the protagonist in the world of fashion modeling.
16. The story should conclude with the protagonist launching their own line of shoes.
17. The protagonist's initial job before quitting must be in a completely unrelated field, like software engineering or teaching.
18. A secondary plot involving the shoe designer's estranged family must be threaded throughout the story.
19. Incorporate at least one flashback that provides a backstory for the shoe designer.
20. The protagonist must deal with a significant personal loss during the story.
21. Include a subplot involving environmental sustainability in shoe production.
22. The protagonist must receive an award or special recognition by the end of the story.
23. There must be a betrayal by a close friend of the protagonist related to their new career."
8,A famous shoe designer asks you to quit your job and be his latest model.,31,"1. The protagonist must have never modeled before and initially refuses the offer due to self-doubt.
2. The shoe designer is secretly battling a terminal illness, which influences his urgency in finding a new muse.
3. The story should explore the protagonist’s journey from a mundane job to high-fashion modeling.
4. The shoe designer and the protagonist must develop a platonic yet intensely deep connection.
5. Include a rival model who attempts to sabotage the protagonist’s career.
6. The protagonist must discover a hidden talent for designing during the story.
7. The story must be set in three different major cities known for their fashion industries.
8. The protagonist should have a significant other who disapproves of their new career path.
9. Each city presented in the story should introduce a new challenge the protagonist must overcome.
10. The designer's shoe brand should be facing financial difficulties, and the protagonist's success is crucial to its survival.
11. Involve a critical scene where the protagonist helps the designer with a fashion show that could either make or break the brand.
12. There must be a scene that details a photo shoot that does not go as planned, leading to unexpected publicity.
13. The story must incorporate the theme of self-discovery and personal transformation prominently.
14. The protagonist should have a past-related fear of public attention which they must confront.
15. Introduce a character who mentors the protagonist in the world of fashion modeling.
16. The story should conclude with the protagonist launching their own line of shoes.
17. The protagonist's initial job before quitting must be in a completely unrelated field, like software engineering or teaching.
18. A secondary plot involving the shoe designer's estranged family must be threaded throughout the story.
19. Incorporate at least one flashback that provides a backstory for the shoe designer.
20. The protagonist must deal with a significant personal loss during the story.
21. Include a subplot involving environmental sustainability in shoe production.
22. The protagonist must receive an award or special recognition by the end of the story.
23. There must be a betrayal by a close friend of the protagonist related to their new career.
24. The protagonist must have a hobby that contrasts sharply with the world of fashion.
25. The setting descriptions must be vivid, employing sensory details extensively.
26. The dialogue must convincingly depict the jargon and lingo of the fashion industry.
27. Incorporate a significant event that temporarily halts the progress of the shoe designer’s brand.
28. A scene must include a public speaking event where the protagonist must speak about their experience.
29. Introduce a therapy session scene where the protagonist discusses their career change and personal growth.
30. The shoe designer's health must significantly deteriorate towards the climax.
31. Include at least one scene where the protagonist interacts with fans or critics on social media."
8,A famous shoe designer asks you to quit your job and be his latest model.,39,"1. The protagonist must have never modeled before and initially refuses the offer due to self-doubt.
2. The shoe designer is secretly battling a terminal illness, which influences his urgency in finding a new muse.
3. The story should explore the protagonist’s journey from a mundane job to high-fashion modeling.
4. The shoe designer and the protagonist must develop a platonic yet intensely deep connection.
5. Include a rival model who attempts to sabotage the protagonist’s career.
6. The protagonist must discover a hidden talent for designing during the story.
7. The story must be set in three different major cities known for their fashion industries.
8. The protagonist should have a significant other who disapproves of their new career path.
9. Each city presented in the story should introduce a new challenge the protagonist must overcome.
10. The designer's shoe brand should be facing financial difficulties, and the protagonist's success is crucial to its survival.
11. Involve a critical scene where the protagonist helps the designer with a fashion show that could either make or break the brand.
12. There must be a scene that details a photo shoot that does not go as planned, leading to unexpected publicity.
13. The story must incorporate the theme of self-discovery and personal transformation prominently.
14. The protagonist should have a past-related fear of public attention which they must confront.
15. Introduce a character who mentors the protagonist in the world of fashion modeling.
16. The story should conclude with the protagonist launching their own line of shoes.
17. The protagonist's initial job before quitting must be in a completely unrelated field, like software engineering or teaching.
18. A secondary plot involving the shoe designer's estranged family must be threaded throughout the story.
19. Incorporate at least one flashback that provides a backstory for the shoe designer.
20. The protagonist must deal with a significant personal loss during the story.
21. Include a subplot involving environmental sustainability in shoe production.
22. The protagonist must receive an award or special recognition by the end of the story.
23. There must be a betrayal by a close friend of the protagonist related to their new career.
24. The protagonist must have a hobby that contrasts sharply with the world of fashion.
25. The setting descriptions must be vivid, employing sensory details extensively.
26. The dialogue must convincingly depict the jargon and lingo of the fashion industry.
27. Incorporate a significant event that temporarily halts the progress of the shoe designer’s brand.
28. A scene must include a public speaking event where the protagonist must speak about their experience.
29. Introduce a therapy session scene where the protagonist discusses their career change and personal growth.
30. The shoe designer's health must significantly deteriorate towards the climax.
31. Include at least one scene where the protagonist interacts with fans or critics on social media.
32. There should be a minor character who is a journalist documenting the protagonist's story.
33. The protagonist must face a dilemma between personal and professional life choices.
34. The turning point of the story should involve a dramatic revelation about the rival model's past.
35. The story must draw parallels between the creativity in shoe design and the protagonist's previous job.
36. Include a scene of a major fashion event where a disaster happens, testing all characters.
37. The story must end on a hopeful but ambiguous note.
38. The protagonist's wardrobe changes must symbolize their internal transformations throughout the story.
39. The narrative should switch between the perspectives of the protagonist and the shoe designer at least once."
9,"Write about a character who willfully decides to turn around their philosophy about life, learning to live with intention",7,"1. The character must start as a cynical stockbroker.
2. The story must be set in a bustling metropolitan city.
3. The character should experience a significant loss that triggers their change in philosophy.
4. The change in life philosophy should be influenced by a chance meeting with an old friend who lives a contrasting, intentional lifestyle.
5. Include a series of journal entries by the character that detail their thoughts and feelings about changing their lifestyle.
6. The story should include a subplot involving a strained relationship with a family member that improves as the main character changes.
7. The character must adopt a new hobby that contributes significantly to their new outlook on life."
9,"Write about a character who willfully decides to turn around their philosophy about life, learning to live with intention",15,"1. The character must start as a cynical stockbroker.
2. The story must be set in a bustling metropolitan city.
3. The character should experience a significant loss that triggers their change in philosophy.
4. The change in life philosophy should be influenced by a chance meeting with an old friend who lives a contrasting, intentional lifestyle.
5. Include a series of journal entries by the character that detail their thoughts and feelings about changing their lifestyle.
6. The story should include a subplot involving a strained relationship with a family member that improves as the main character changes.
7. The character must adopt a new hobby that contributes significantly to their new outlook on life.
8. Incorporate a symbolic item that represents the character’s old life and is discarded or transformed during the story.
9. The story must include a scene set in complete solitude in nature.
10. Every other chapter must begin with a quote from a well-known philosopher that relates to the theme of living with intention.
11. The character must face a moral dilemma that tests their new philosophy.
12. Introduce a mentor figure specializing in mindfulness practices who guides the protagonist.
13. The climax must involve a public speech or declaration of the character’s new intentions.
14. The inclusion of a scene where the character physically destroys something from their old life.
15. The story must shift between past (flashbacks) and present in alternating chapters to show contrast in lifestyle and mindset."
9,"Write about a character who willfully decides to turn around their philosophy about life, learning to live with intention",23,"1. The character must start as a cynical stockbroker.
2. The story must be set in a bustling metropolitan city.
3. The character should experience a significant loss that triggers their change in philosophy.
4. The change in life philosophy should be influenced by a chance meeting with an old friend who lives a contrasting, intentional lifestyle.
5. Include a series of journal entries by the character that detail their thoughts and feelings about changing their lifestyle.
6. The story should include a subplot involving a strained relationship with a family member that improves as the main character changes.
7. The character must adopt a new hobby that contributes significantly to their new outlook on life.
8. Incorporate a symbolic item that represents the character’s old life and is discarded or transformed during the story.
9. The story must include a scene set in complete solitude in nature.
10. Every other chapter must begin with a quote from a well-known philosopher that relates to the theme of living with intention.
11. The character must face a moral dilemma that tests their new philosophy.
12. Introduce a mentor figure specializing in mindfulness practices who guides the protagonist.
13. The climax must involve a public speech or declaration of the character’s new intentions.
14. The inclusion of a scene where the character physically destroys something from their old life.
15. The story must shift between past (flashbacks) and present in alternating chapters to show contrast in lifestyle and mindset.
16. There should be a recurring motif of water throughout the story symbolizing renewal and change.
17. Include at least one dream sequence that metaphorically represents the character’s internal conflict.
18. The character must visit at least three places that are geographically and culturally different during their journey.
19. The story must contain a letter never sent that expresses the character’s old beliefs and why they were changed.
20. A secondary character should strongly oppose the protagonist's change, providing a counterpoint to the main theme.
21. The story structure should mirror the stages of grief as the character lets go of their old self.
22. Implement a strict first-person narrative to maintain a deep, personal connection with the main character’s experiences and growth.
23. The narrative must include at least one instance where the character helps someone else to change their perspective on life."
9,"Write about a character who willfully decides to turn around their philosophy about life, learning to live with intention",31,"1. The character must start as a cynical stockbroker.
2. The story must be set in a bustling metropolitan city.
3. The character should experience a significant loss that triggers their change in philosophy.
4. The change in life philosophy should be influenced by a chance meeting with an old friend who lives a contrasting, intentional lifestyle.
5. Include a series of journal entries by the character that detail their thoughts and feelings about changing their lifestyle.
6. The story should include a subplot involving a strained relationship with a family member that improves as the main character changes.
7. The character must adopt a new hobby that contributes significantly to their new outlook on life.
8. Incorporate a symbolic item that represents the character’s old life and is discarded or transformed during the story.
9. The story must include a scene set in complete solitude in nature.
10. Every other chapter must begin with a quote from a well-known philosopher that relates to the theme of living with intention.
11. The character must face a moral dilemma that tests their new philosophy.
12. Introduce a mentor figure specializing in mindfulness practices who guides the protagonist.
13. The climax must involve a public speech or declaration of the character’s new intentions.
14. The inclusion of a scene where the character physically destroys something from their old life.
15. The story must shift between past (flashbacks) and present in alternating chapters to show contrast in lifestyle and mindset.
16. There should be a recurring motif of water throughout the story symbolizing renewal and change.
17. Include at least one dream sequence that metaphorically represents the character’s internal conflict.
18. The character must visit at least three places that are geographically and culturally different during their journey.
19. The story must contain a letter never sent that expresses the character’s old beliefs and why they were changed.
20. A secondary character should strongly oppose the protagonist's change, providing a counterpoint to the main theme.
21. The story structure should mirror the stages of grief as the character lets go of their old self.
22. Implement a strict first-person narrative to maintain a deep, personal connection with the main character’s experiences and growth.
23. The narrative must include at least one instance where the character helps someone else to change their perspective on life.
24. A significant event in the story must occur during a major cultural or religious festival.
25. The character must face a significant setback midway through the story that almost makes them revert to their old ways.
26. The intentional living philosophy adopted by the character must be detailed with at least three specific practices or routines.
27. Weave a theme of environmental consciousness throughout the character’s transformation.
28. Introduce a love interest who is initially skeptical of the character’s change but gradually supports it.
29. The dialogue must include philosophical debates between characters on the meaning of intentional living.
30. Explain a specific moment that crystallizes the character’s commitment to their new philosophy using vivid sensory details.
31. The final resolution must include a tangible achievement or recognition of the character’s new way of life."
9,"Write about a character who willfully decides to turn around their philosophy about life, learning to live with intention",39,"1. The character must start as a cynical stockbroker.
2. The story must be set in a bustling metropolitan city.
3. The character should experience a significant loss that triggers their change in philosophy.
4. The change in life philosophy should be influenced by a chance meeting with an old friend who lives a contrasting, intentional lifestyle.
5. Include a series of journal entries by the character that detail their thoughts and feelings about changing their lifestyle.
6. The story should include a subplot involving a strained relationship with a family member that improves as the main character changes.
7. The character must adopt a new hobby that contributes significantly to their new outlook on life.
8. Incorporate a symbolic item that represents the character’s old life and is discarded or transformed during the story.
9. The story must include a scene set in complete solitude in nature.
10. Every other chapter must begin with a quote from a well-known philosopher that relates to the theme of living with intention.
11. The character must face a moral dilemma that tests their new philosophy.
12. Introduce a mentor figure specializing in mindfulness practices who guides the protagonist.
13. The climax must involve a public speech or declaration of the character’s new intentions.
14. The inclusion of a scene where the character physically destroys something from their old life.
15. The story must shift between past (flashbacks) and present in alternating chapters to show contrast in lifestyle and mindset.
16. There should be a recurring motif of water throughout the story symbolizing renewal and change.
17. Include at least one dream sequence that metaphorically represents the character’s internal conflict.
18. The character must visit at least three places that are geographically and culturally different during their journey.
19. The story must contain a letter never sent that expresses the character’s old beliefs and why they were changed.
20. A secondary character should strongly oppose the protagonist's change, providing a counterpoint to the main theme.
21. The story structure should mirror the stages of grief as the character lets go of their old self.
22. Implement a strict first-person narrative to maintain a deep, personal connection with the main character’s experiences and growth.
23. The narrative must include at least one instance where the character helps someone else to change their perspective on life.
24. A significant event in the story must occur during a major cultural or religious festival.
25. The character must face a significant setback midway through the story that almost makes them revert to their old ways.
26. The intentional living philosophy adopted by the character must be detailed with at least three specific practices or routines.
27. Weave a theme of environmental consciousness throughout the character’s transformation.
28. Introduce a love interest who is initially skeptical of the character’s change but gradually supports it.
29. The dialogue must include philosophical debates between characters on the meaning of intentional living.
30. Explain a specific moment that crystallizes the character’s commitment to their new philosophy using vivid sensory details.
31. The final resolution must include a tangible achievement or recognition of the character’s new way of life.
32. A nemesis from the protagonist's past life must return, challenging their new ideals.
33. Include a community event organized by the protagonist that embodies their new philosophy.
34. The story must involve a pet that influences or symbolizes the character’s journey and change.
35. There should be a dramatic climatic weather event that metaphorically represents the character’s internal transformation.
36. The protagonist should volunteer for an organization that aligns with their new values.
37. The story must mention at least five books that inspired the protagonist’s change.
38. A specific scene must illustrate the protagonist teaching someone else about intentional living.
39. The ending must include a reflective narration by the protagonist assessing their growth and future intentions."
10,Write a real-life fairy tale without the magic. Set it in modern times,7,"1. The story must take place in a modern-day metropolitan city which simultaneously maintains a visible class division and a romantic charm.
2. The protagonist should be a financially struggling artist who discovers unrecognized historic value in their everyday surroundings, like an old café or library.
3. Incorporate a romantically involved subplot that flourishes despite significant socioeconomic differences.
4. The protagonist should find inspiration in a forgotten piece of art or artifact, which dramatically changes his/her circumstances.
5. The narrative should use metaphorical references to classic fairy tale elements, like “dragons” to symbolize personal demons.
6. Seasons should play a crucial role in the setting and progression of the story, with each season distinctly affecting the protagonist’s mood and decisions.
7. Involve an elderly character who acts as a mentor or fairy godmother figure, imparting wisdom with real-world advice rather than magic."
