Instruction Number,Instruction ,Number of Constraints,Constraints
3,"Write a story in less than 500 words about a high school chemistry teacher turned meth producer, who, faced with inoperable lung cancer, descends into the criminal underworld to secure his family’s financial future, navigating threats, betrayals, and tragic losses along the way.",7,"1. The protagonist should be offered a high-paying job at a state-of-the-art meth production facility.
2. The protagonist's assistant should start stealing from the meth lab.
3. One character should threaten to report the protagonist to the police.
4. The former student should strike a romantic relationship with their neighbor, a recovering addict.
5. The protagonist and the assistant should find themselves under threat from their boss.
6. The protagonist should team up with a former student to manufacture methamphetamine.
7. The protagonist should miss the birth of his child due to business dealings."
3,"Write a story in less than 500 words about a high school chemistry teacher turned meth producer, who, faced with inoperable lung cancer, descends into the criminal underworld to secure his family’s financial future, navigating threats, betrayals, and tragic losses along the way.",15,"1. The protagonist should be offered a high-paying job at a state-of-the-art meth production facility.
2. The protagonist's assistant should start stealing from the meth lab.
3. One character should threaten to report the protagonist to the police.
4. The former student should strike a romantic relationship with their neighbor, a recovering addict.
5. The protagonist and the assistant should find themselves under threat from their boss.
6. The protagonist should team up with a former student to manufacture methamphetamine.
7. The protagonist should miss the birth of his child due to business dealings.
8. The protagonist should make a late arrival at the delivery of his meth product.
9. The DEA should be investigating the protagonist’s operation.
10. The protagonist’s romantic interest should die from drug overdose.
11. The protagonist’s son should be significantly handicapped.
12. The operation should move to tented houses.
13. The protagonist should be a struggling high school chemistry teacher.
14. The two main characters should put aside their differences to kill their boss.
15. The protagonist should confess his illegal activities to his wife."
3,"Write a story in less than 500 words about a high school chemistry teacher turned meth producer, who, faced with inoperable lung cancer, descends into the criminal underworld to secure his family’s financial future, navigating threats, betrayals, and tragic losses along the way.",23,"1. The protagonist should be offered a high-paying job at a state-of-the-art meth production facility.
2. The protagonist's assistant should start stealing from the meth lab.
3. One character should threaten to report the protagonist to the police.
4. The former student should strike a romantic relationship with their neighbor, a recovering addict.
5. The protagonist and the assistant should find themselves under threat from their boss.
6. The protagonist should team up with a former student to manufacture methamphetamine.
7. The protagonist should miss the birth of his child due to business dealings.
8. The protagonist should make a late arrival at the delivery of his meth product.
9. The DEA should be investigating the protagonist’s operation.
10. The protagonist’s romantic interest should die from drug overdose.
11. The protagonist’s son should be significantly handicapped.
12. The operation should move to tented houses.
13. The protagonist should be a struggling high school chemistry teacher.
14. The two main characters should put aside their differences to kill their boss.
15. The protagonist should confess his illegal activities to his wife.
16. They should have a lawyer helping them navigate their legal issues.
17. They should be forced to move their lab to a more remote location.
18. The protagonist's team should face legal issues.
19. The assistant’s girlfriend's younger brother should be revealed to be responsible for a past murder.
20. The DEA should start investigating the protagonist's operation.
21. The protagonist's wife should discover his secret life and ask for a separation.
22. The recovering addict character should blackmail the protagonist.
23. The protagonist should be diagnosed with advanced, inoperable lung cancer."
3,"Write a story in less than 500 words about a high school chemistry teacher turned meth producer, who, faced with inoperable lung cancer, descends into the criminal underworld to secure his family’s financial future, navigating threats, betrayals, and tragic losses along the way.",31,"1. The protagonist should be offered a high-paying job at a state-of-the-art meth production facility.
2. The protagonist's assistant should start stealing from the meth lab.
3. One character should threaten to report the protagonist to the police.
4. The former student should strike a romantic relationship with their neighbor, a recovering addict.
5. The protagonist and the assistant should find themselves under threat from their boss.
6. The protagonist should team up with a former student to manufacture methamphetamine.
7. The protagonist should miss the birth of his child due to business dealings.
8. The protagonist should make a late arrival at the delivery of his meth product.
9. The DEA should be investigating the protagonist’s operation.
10. The protagonist’s romantic interest should die from drug overdose.
11. The protagonist’s son should be significantly handicapped.
12. The operation should move to tented houses.
13. The protagonist should be a struggling high school chemistry teacher.
14. The two main characters should put aside their differences to kill their boss.
15. The protagonist should confess his illegal activities to his wife.
16. They should have a lawyer helping them navigate their legal issues.
17. They should be forced to move their lab to a more remote location.
18. The protagonist's team should face legal issues.
19. The assistant’s girlfriend's younger brother should be revealed to be responsible for a past murder.
20. The DEA should start investigating the protagonist's operation.
21. The protagonist's wife should discover his secret life and ask for a separation.
22. The recovering addict character should blackmail the protagonist.
23. The protagonist should be diagnosed with advanced, inoperable lung cancer.
24. They should face issues with local drug dealers.
25. The protagonist should be fired, and his brother-in-law's life threatened.
26. The protagonist should disclose his secret life and profession to his wife.
27. The DEA should be closing in on the operation, identifying several criminals tied to them.
28. The protagonist's brother-in-law should be an employed DEA agent.
29. The protagonist should continue manufacturing meth despite problems, using a pseudonym.
30. The protagonist's motivation should be to provide financial stability for his family and his expensive medical treatment.
31. The partners should form a new meth production and distribution operation after their boss's death."
3,"Write a story in less than 500 words about a high school chemistry teacher turned meth producer, who, faced with inoperable lung cancer, descends into the criminal underworld to secure his family’s financial future, navigating threats, betrayals, and tragic losses along the way.",39,"1. The protagonist should be offered a high-paying job at a state-of-the-art meth production facility.
2. The protagonist's assistant should start stealing from the meth lab.
3. One character should threaten to report the protagonist to the police.
4. The former student should strike a romantic relationship with their neighbor, a recovering addict.
5. The protagonist and the assistant should find themselves under threat from their boss.
6. The protagonist should team up with a former student to manufacture methamphetamine.
7. The protagonist should miss the birth of his child due to business dealings.
8. The protagonist should make a late arrival at the delivery of his meth product.
9. The DEA should be investigating the protagonist’s operation.
10. The protagonist’s romantic interest should die from drug overdose.
11. The protagonist’s son should be significantly handicapped.
12. The operation should move to tented houses.
13. The protagonist should be a struggling high school chemistry teacher.
14. The two main characters should put aside their differences to kill their boss.
15. The protagonist should confess his illegal activities to his wife.
16. They should have a lawyer helping them navigate their legal issues.
17. They should be forced to move their lab to a more remote location.
18. The protagonist's team should face legal issues.
19. The assistant’s girlfriend's younger brother should be revealed to be responsible for a past murder.
20. The DEA should start investigating the protagonist's operation.
21. The protagonist's wife should discover his secret life and ask for a separation.
22. The recovering addict character should blackmail the protagonist.
23. The protagonist should be diagnosed with advanced, inoperable lung cancer.
24. They should face issues with local drug dealers.
25. The protagonist should be fired, and his brother-in-law's life threatened.
26. The protagonist should disclose his secret life and profession to his wife.
27. The DEA should be closing in on the operation, identifying several criminals tied to them.
28. The protagonist's brother-in-law should be an employed DEA agent.
29. The protagonist should continue manufacturing meth despite problems, using a pseudonym.
30. The protagonist's motivation should be to provide financial stability for his family and his expensive medical treatment.
31. The partners should form a new meth production and distribution operation after their boss's death.
32. One member of their team should be killed by a rival gang.
33. An ally should be coerced into becoming a suicide bomber to accomplish this.
34. The protagonist should devise a plot to eliminate a rival gang that has killed his team member.
35. The protagonist should let the blackmailer die from an overdose.
36. The protagonist should collaborate with a former student to produce meth.
37. The protagonist should have a pregnant wife and a disabled son.
38. The protagonist should take over the meth operation after the boss's death.
39. There should be a new business partner who is willing to pay a huge sum for their meth."
4,"Write a story in less than 500 words about a protagonist who, after dying, finds himself in a mysterious room with a screen that allows him to review and explore the interconnected paths of his life decisions.",7,"1. The protagonist must attempt to address the ""manlike entity"" but receive no response.
2. The protagonist should not be startled by the presence of the ""manlike entity"" anymore over time.
3. The dialogue from the ""manlike entity"" must be largely indiscernible.
4. The protagonist must struggle with understanding who or what the ""manlike entity"" is.
5. The protagonist must use a screen to review his life.
6. The protagonist must discover that his life decisions are interconnected like multiple trees from a single root.
7. The protagonist must identify a pattern within the branches of his life's paths."
4,"Write a story in less than 500 words about a protagonist who, after dying, finds himself in a mysterious room with a screen that allows him to review and explore the interconnected paths of his life decisions.",15,"1. The protagonist must attempt to address the ""manlike entity"" but receive no response.
2. The protagonist should not be startled by the presence of the ""manlike entity"" anymore over time.
3. The dialogue from the ""manlike entity"" must be largely indiscernible.
4. The protagonist must struggle with understanding who or what the ""manlike entity"" is.
5. The protagonist must use a screen to review his life.
6. The protagonist must discover that his life decisions are interconnected like multiple trees from a single root.
7. The protagonist must identify a pattern within the branches of his life's paths.
8. There should be contemplation over the possible choices and their potential to bring happiness.
9. The protagonist should question this conclusion due to a feeling of inaccuracy.
10. The discovery must be made that he could remember all the main life paths.
11. The story must carry an undertone of reflection and introspection.
12. The protagonist should feel a strong draw towards understanding the ""something else"".
13. The protagonist eventually gets back to reviewing his life.
14. The protagonist must clearly hear the ""manlike entity"" speak a word for the first time.
15. Sporadic expressions of emotion should be noticed from the ""manlike entity""."
4,"Write a story in less than 500 words about a protagonist who, after dying, finds himself in a mysterious room with a screen that allows him to review and explore the interconnected paths of his life decisions.",23,"1. The protagonist must attempt to address the ""manlike entity"" but receive no response.
2. The protagonist should not be startled by the presence of the ""manlike entity"" anymore over time.
3. The dialogue from the ""manlike entity"" must be largely indiscernible.
4. The protagonist must struggle with understanding who or what the ""manlike entity"" is.
5. The protagonist must use a screen to review his life.
6. The protagonist must discover that his life decisions are interconnected like multiple trees from a single root.
7. The protagonist must identify a pattern within the branches of his life's paths.
8. There should be contemplation over the possible choices and their potential to bring happiness.
9. The protagonist should question this conclusion due to a feeling of inaccuracy.
10. The discovery must be made that he could remember all the main life paths.
11. The story must carry an undertone of reflection and introspection.
12. The protagonist should feel a strong draw towards understanding the ""something else"".
13. The protagonist eventually gets back to reviewing his life.
14. The protagonist must clearly hear the ""manlike entity"" speak a word for the first time.
15. Sporadic expressions of emotion should be noticed from the ""manlike entity"".
16. The protagonist must find himself in a large room with a screen.
17. The protagonist must initially feel fear when confronted with the ""something else"".
18. The protagonist’s questioning of the ""manlike"" figure should lead to silence and deepen the mystery of the story.
19. The clarity of the protagonist's memories of potential lives should increase.
20. The protagonist must hear a third statement from the ""manlike entity"".
21. The protagonist should learn to ignore the indiscernible whispers from the ""manlike entity"".
22. The realization must be established that a minor decision could have drastically changed the protagonist's life.
23. The protagonist should eventually hear the ""manlike entity"" speak, which is a new occurrence."
4,"Write a story in less than 500 words about a protagonist who, after dying, finds himself in a mysterious room with a screen that allows him to review and explore the interconnected paths of his life decisions.",31,"1. The protagonist must attempt to address the ""manlike entity"" but receive no response.
2. The protagonist should not be startled by the presence of the ""manlike entity"" anymore over time.
3. The dialogue from the ""manlike entity"" must be largely indiscernible.
4. The protagonist must struggle with understanding who or what the ""manlike entity"" is.
5. The protagonist must use a screen to review his life.
6. The protagonist must discover that his life decisions are interconnected like multiple trees from a single root.
7. The protagonist must identify a pattern within the branches of his life's paths.
8. There should be contemplation over the possible choices and their potential to bring happiness.
9. The protagonist should question this conclusion due to a feeling of inaccuracy.
10. The discovery must be made that he could remember all the main life paths.
11. The story must carry an undertone of reflection and introspection.
12. The protagonist should feel a strong draw towards understanding the ""something else"".
13. The protagonist eventually gets back to reviewing his life.
14. The protagonist must clearly hear the ""manlike entity"" speak a word for the first time.
15. Sporadic expressions of emotion should be noticed from the ""manlike entity"".
16. The protagonist must find himself in a large room with a screen.
17. The protagonist must initially feel fear when confronted with the ""something else"".
18. The protagonist’s questioning of the ""manlike"" figure should lead to silence and deepen the mystery of the story.
19. The clarity of the protagonist's memories of potential lives should increase.
20. The protagonist must hear a third statement from the ""manlike entity"".
21. The protagonist should learn to ignore the indiscernible whispers from the ""manlike entity"".
22. The realization must be established that a minor decision could have drastically changed the protagonist's life.
23. The protagonist should eventually hear the ""manlike entity"" speak, which is a new occurrence.
24. He should feel compelled to continue exploring the ""main trunks"" of his life decisions.
25. The protagonist must discover how to view potential choices he could have made in life.
26. The protagonist should continue observing his life without fearing the manlike entity.
27. The protagonist’s discovery of being able to view his life on a screen, must be the driving force of the plot.
28. There should be another entity referred to as ""something else"" in the room.
29. The protagonist should be aware of his own death.
30. The setting should seem initially similar to a hospital room, but is not.
31. This ""something else"" entity must always be at the corner of the protagonist's vision."
4,"Write a story in less than 500 words about a protagonist who, after dying, finds himself in a mysterious room with a screen that allows him to review and explore the interconnected paths of his life decisions.",39,"1. The protagonist must attempt to address the ""manlike entity"" but receive no response.
2. The protagonist should not be startled by the presence of the ""manlike entity"" anymore over time.
3. The dialogue from the ""manlike entity"" must be largely indiscernible.
4. The protagonist must struggle with understanding who or what the ""manlike entity"" is.
5. The protagonist must use a screen to review his life.
6. The protagonist must discover that his life decisions are interconnected like multiple trees from a single root.
7. The protagonist must identify a pattern within the branches of his life's paths.
8. There should be contemplation over the possible choices and their potential to bring happiness.
9. The protagonist should question this conclusion due to a feeling of inaccuracy.
10. The discovery must be made that he could remember all the main life paths.
11. The story must carry an undertone of reflection and introspection.
12. The protagonist should feel a strong draw towards understanding the ""something else"".
13. The protagonist eventually gets back to reviewing his life.
14. The protagonist must clearly hear the ""manlike entity"" speak a word for the first time.
15. Sporadic expressions of emotion should be noticed from the ""manlike entity"".
16. The protagonist must find himself in a large room with a screen.
17. The protagonist must initially feel fear when confronted with the ""something else"".
18. The protagonist’s questioning of the ""manlike"" figure should lead to silence and deepen the mystery of the story.
19. The clarity of the protagonist's memories of potential lives should increase.
20. The protagonist must hear a third statement from the ""manlike entity"".
21. The protagonist should learn to ignore the indiscernible whispers from the ""manlike entity"".
22. The realization must be established that a minor decision could have drastically changed the protagonist's life.
23. The protagonist should eventually hear the ""manlike entity"" speak, which is a new occurrence.
24. He should feel compelled to continue exploring the ""main trunks"" of his life decisions.
25. The protagonist must discover how to view potential choices he could have made in life.
26. The protagonist should continue observing his life without fearing the manlike entity.
27. The protagonist’s discovery of being able to view his life on a screen, must be the driving force of the plot.
28. There should be another entity referred to as ""something else"" in the room.
29. The protagonist should be aware of his own death.
30. The setting should seem initially similar to a hospital room, but is not.
31. This ""something else"" entity must always be at the corner of the protagonist's vision.
32. The narrative must possess a mysterious tone, with the protagonist trying to decipher the nature of the ""manlike entity"".
33. The protagonist must later determine that the ""something else"" entity has the shape of a man.
34. The protagonist must experience a stronger level of clarity about his life and choices as the story progresses.
35. The protagonist must question how he could vividly remember lives he never lived.
36. The protagonist should conclude that he remembers the paths because they were his likely choices given the opportunity.
37. Some of these potential choices must be recognizably similar to the protagonist's past fantasies.
38. The protagonist should be interrupted by the ""manlike entity"" speaking again.
39. The protagonist's focus must always return to examining the screen and his life."
5,"Write a story in less than 500 words about two strangers who meet on a bridge in a small town during a severe storm, each contemplating suicide.",7,"1. The storm must have caused power cuts across the town.
2. The protagonist should be walking alone in the early morning.
3. The stranger should ask to look into protagonist's eyes.
4. The setting should be in a small town.
5. Use descriptive language to intensify the severity of the storm and its role in the plot.
6. The stranger and the protagonist should talk about their perceptions of themselves.
7. Use a somber tone to highlight the plight of the protagonist and stranger."
